event_day,event_hour,topics,city,country
2017-03-23,19:30,Mobile App Marketing,Berlin,de
2017-03-23,19:30,Mobile App,Berlin,de
2017-03-19,15:30,Motorcycle Riding,Land O Lakes,us
2017-03-19,15:30,Adventure Riding,Land O Lakes,us
2017-03-19,15:30,Motorcycle Destination Rides,Land O Lakes,us
2017-03-19,15:30,Motorcycle Touring,Land O Lakes,us
2017-03-19,15:30,Adventure Motorcycles,Land O Lakes,us
2017-03-19,15:30,Dual Sport,Land O Lakes,us
2017-03-19,15:30,Dual-Sport Motorcycling,Land O Lakes,us
2017-03-19,15:30,Adventure/ dual sport riding,Land O Lakes,us
2017-03-22,20:00,Statistical Computing,Barcelona,es
2017-03-22,20:00,Machine Learning,Barcelona,es
2017-03-22,20:00,Data Analytics,Barcelona,es
2017-03-22,20:00,Data Visualization,Barcelona,es
2017-03-22,20:00,Predictive Analytics,Barcelona,es
2017-03-22,20:00,Statistical Consulting,Barcelona,es
2017-03-22,20:00,Data Mining,Barcelona,es
2017-03-22,20:00,R Project for Statistical Computing,Barcelona,es
2017-03-22,20:00,Data Science,Barcelona,es
2017-03-22,20:00,Data Analysis and Modeling,Barcelona,es
2017-03-22,20:00,Applied Statistics,Barcelona,es
2017-03-22,20:00,Data Analysis,Barcelona,es
2017-03-21,19:00,.NET,Belgrade,rs
2017-03-21,19:00,C#,Belgrade,rs
2017-03-21,19:00,Software Development,Belgrade,rs
2017-03-21,19:00,Cloud Computing,Belgrade,rs
2017-03-21,19:00,Information Technology,Belgrade,rs
2017-03-21,19:00,Web Development,Belgrade,rs
2017-03-21,19:00,ASP.NET,Belgrade,rs
2017-03-21,19:00,Mobile Development,Belgrade,rs
2017-03-21,19:00,ASP.NET MVC,Belgrade,rs
2017-03-21,19:00,MVVM,Belgrade,rs
2017-03-21,19:00,Windows 10 Development,Belgrade,rs
2017-03-21,19:00,UWP App Development,Belgrade,rs
2017-03-21,19:00,Windows 10 UWP Development,Belgrade,rs
2017-03-19,16:15,Art House,London,gb
2017-03-19,16:15,Film,London,gb
2017-03-19,16:15,Intellectual Discussion,London,gb
2017-03-24,03:45,Fitness,Seattle,us
2017-03-24,03:45,Exercise,Seattle,us
2017-03-24,03:45,Nutrition,Seattle,us
2017-03-24,03:45,Wellness,Seattle,us
2017-03-24,03:45,Healthy Living,Seattle,us
2017-03-24,03:45,Running,Seattle,us
2017-03-24,03:45,Long Distance Running,Seattle,us
2017-03-24,03:45,Aerobics,Seattle,us
2017-03-24,03:45,Sports and Recreation,Seattle,us
2017-03-24,03:45,Beginner's Running,Seattle,us
2017-07-14,15:00,Night Photography,Ashland,us
2017-07-14,15:00,Photography,Ashland,us
2017-07-14,15:00,Group Photo Shoots,Ashland,us
2017-07-14,15:00,Fine Art Photography,Ashland,us
2017-07-14,15:00,Photography Classes,Ashland,us
2017-07-14,15:00,Nature Photography,Ashland,us
2017-07-14,15:00,Digital Photography,Ashland,us
2017-07-14,15:00,Film Photography,Ashland,us
2017-03-24,00:00,Games,Cleveland,us
2017-03-24,00:00,Gaming,Cleveland,us
2017-03-24,00:00,Board Games,Cleveland,us
2017-03-24,00:00,Strategy Games,Cleveland,us
2017-03-24,00:00,Card Games,Cleveland,us
2017-03-24,00:00,War Games,Cleveland,us
2017-03-24,00:00,Euro Games,Cleveland,us
2017-03-24,00:00,Game Night,Cleveland,us
2017-03-24,00:00,Fun Times,Cleveland,us
2017-03-24,00:00,Social,Cleveland,us
2017-07-14,15:00,Night Photography,Ashland,us
2017-07-14,15:00,Photography,Ashland,us
2017-07-14,15:00,Group Photo Shoots,Ashland,us
2017-07-14,15:00,Fine Art Photography,Ashland,us
2017-07-14,15:00,Photography Classes,Ashland,us
2017-07-14,15:00,Nature Photography,Ashland,us
2017-07-14,15:00,Digital Photography,Ashland,us
2017-07-14,15:00,Film Photography,Ashland,us
2017-03-20,12:00,Nutrition,Boca Raton,us
2017-03-20,12:00,Healthy Living,Boca Raton,us
2017-03-20,12:00,Half Marathon,Boca Raton,us
2017-03-20,12:00,Running,Boca Raton,us
2017-03-20,12:00,Beginner's Running,Boca Raton,us
2017-03-20,12:00,Exercise,Boca Raton,us
2017-03-20,12:00,Marathon,Boca Raton,us
2017-03-20,12:00,Fitness Boot Camp,Boca Raton,us
2017-03-20,12:00,outdoor group fitness class,Boca Raton,us
2017-03-20,12:00,Social Networking,Boca Raton,us
2017-03-20,12:00,Outdoor  Fitness,Boca Raton,us
